m/z ,Cont,Ex,Unnamed: 3,Dif,Y/N
129.021,0.0,0.074990544297529,,0.074990544297529,Ex
137.026,0.050083668970929,0.0,,-0.050083668970929,Cont
159.033,0.0,0.064768150074671,,0.064768150074671,Ex
161.047,0.0,0.087008059767838,,0.087008059767838,Ex
170.006,0.051618561816944,0.0,,-0.051618561816944,Cont
179.058,0.105295957346136,0.110175993043722,,0.004880035697585994,
183.015,1.0,0.312457351857412,,-0.6875426481425879,
184.022,0.24469654129785,0.089757037187231,,-0.15493950411061902,
185.014,0.090620996872512,0.0,,-0.090620996872512,Cont
187.042,0.070221924732548,0.0,,-0.070221924732548,Cont
194.027,0.062335114424531,0.0,,-0.062335114424531,Cont
197.032,0.083509711370902,0.0,,-0.083509711370902,Cont
198.036,0.054725277261659,0.0,,-0.054725277261659,Cont
221.073,0.0,0.171484038384303,,0.171484038384303,Ex
225.064,0.069448708035683,0.0,,-0.069448708035683,Cont
239.081,0.058180517247349,0.0,,-0.058180517247349,Cont
265.155,0.06086715675526,0.061018525378326,,0.00015136862306600052,
297.164,0.062990617534708,0.0,,-0.062990617534708,Cont
311.181,0.192614049462788,0.069866918298831,,-0.12274713116395701,
325.196,0.266404311548626,0.09814288053841,,-0.16826143101021598,
326.198,0.056684862263563,0.0,,-0.056684862263563,Cont
339.211,0.231939619854358,0.086475323540995,,-0.145464296313363,
340.217,0.053317330440503,0.0,,-0.053317330440503,Cont
341.119,0.054300585105769,0.0,,-0.054300585105769,Cont
351.16,0.093515366239282,0.0,,-0.093515366239282,Cont
383.134,0.0,0.098052222772451,,0.098052222772451,Ex
406.976,0.0,0.066572044654311,,0.066572044654311,Ex
426.986,0.0,0.06853337180602,,0.06853337180602,Ex
437.326,0.0,0.057735349510058,,0.057735349510058,Ex
455.338,0.0,0.074025477756678,,0.074025477756678,Ex
471.129,0.050748404519278,0.0,,-0.050748404519278,Cont
487.329,0.0,0.051285488128707,,0.051285488128707,Ex
515.122,0.052227902736264,0.0,,-0.052227902736264,Cont
517.338999999999,0.372833550680315,1.0,,0.627166449319685,
518.343,0.129300296592076,0.364825859104184,,0.23552556251210802,
519.177,0.0,0.492236088419591,,0.492236088419591,Ex
519.348,0.054360595953884,0.114003115507742,,0.059642519553858006,
520.182,0.0,0.112113437235582,,0.112113437235582,Ex
530.283,0.0,0.06063688542808,,0.06063688542808,Ex
531.321,0.0,0.063793822794287,,0.063793822794287,Ex
533.336,0.055673910283782,0.15634906554264,,0.100675155258858,
534.34,0.0,0.056502696337426,,0.056502696337426,Ex
539.325,0.0,0.076714016665432,,0.076714016665432,Ex
681.238999999999,0.0,0.222673019858925,,0.222673019858925,Ex
682.243,0.0,0.065333542593553,,0.065333542593553,Ex
707.256999999999,0.0,0.083705387605816,,0.083705387605816,Ex
729.494,0.050279858282074,0.0,,-0.050279858282074,Cont
730.52,0.111832523571569,0.0,,-0.111832523571569,Cont
843.307,0.0,0.053669884854889,,0.053669884854889,Ex
869.321,0.0,0.278165320772521,,0.278165320772521,Ex
870.327,0.0,0.112462908301132,,0.112462908301132,Ex
871.327,0.0,0.054935681726904,,0.054935681726904,Ex
882.575,0.069079410508823,0.1203730420847,,0.05129363157587699,
883.575,0.0,0.060831848365626,,0.060831848365626,Ex
896.588999999999,0.0,0.067826631157417,,0.067826631157417,Ex
900.563,0.075080495320308,0.075151388721004,,7.089340069600658e-05,
972.523,0.0,0.08763145376064,,0.08763145376064,Ex
