m/z ,Cont,Ex,Unnamed: 3,Dif,Y/N
217.056,0.0,0.154063715162459,,0.154063715162459,Ex
273.085,0.084902094479981,0.0,,-0.084902094479981,Cont
284.344,0.440134180837551,0.243154073255975,,-0.19698010758157602,
285.349,0.102484068548029,0.05727805312912,,-0.04520601541890899,
298.361,0.052764821460241,0.0,,-0.052764821460241,Cont
304.312,0.181856908182602,0.064468631065949,,-0.117388277116653,
305.097,0.056310236527877,0.0,,-0.056310236527877,Cont
307.165,0.064423178792784,0.0,,-0.064423178792784,Cont
332.345,0.359718699901933,0.110005522170995,,-0.24971317773093799,
333.349,0.10267212972884,0.0,,-0.10267212972884,Cont
337.124,0.087132167892143,0.0,,-0.087132167892143,Cont
347.109,0.138091159611009,0.072547803621973,,-0.06554335598903602,
359.081,0.085938410157322,0.0,,-0.085938410157322,Cont
360.379,0.098002771632178,0.0,,-0.098002771632178,Cont
365.124,0.77809673236907,0.399754068528161,,-0.378342663840909,
366.124,0.13753046874424,0.0690665997674,,-0.06846386897684,
367.133,0.064038324741998,0.0,,-0.064038324741998,Cont
368.441,0.139957024566316,0.091054700585674,,-0.04890232398064201,
389.269,0.121995280230951,0.056632813110609,,-0.06536246712034201,
395.176,0.051489412729871,0.0,,-0.051489412729871,Cont
407.135,0.094346483515929,0.079313346893497,,-0.015033136622431997,
447.314,0.11563434169467,0.056806592190121,,-0.058827749504549005,
449.379,0.071520877856863,0.0,,-0.071520877856863,Cont
455.2,0.12624392614,0.0,,-0.12624392614,Cont
459.209,0.066618131410758,0.0,,-0.066618131410758,Cont
463.286,0.052325714514124,0.0,,-0.052325714514124,Cont
467.159,0.147365688187111,0.137701818525659,,-0.009663869661451996,
481.321,0.058149557148129,0.0,,-0.058149557148129,Cont
499.188,0.075423244377471,0.0,,-0.075423244377471,Cont
505.357,0.07848628212825,0.0,,-0.07848628212825,Cont
509.171,0.221230345452789,0.224334097095227,,0.0031037516424380074,
509.453,0.0,0.09252781902783,,0.09252781902783,Ex
510.172,0.061012464583299,0.056433137540817,,-0.004579327042482005,
527.182,1.0,1.0,,0.0,
528.184999999999,0.253648584826032,0.262050972215153,,0.008402387389121024,
529.188,0.110586920861014,0.10050204264956,,-0.010084878211453999,
543.156999999999,0.098375867008224,0.125080899911556,,0.026705032903331996,
555.239,0.058178662778672,0.0,,-0.058178662778672,Cont
563.399,0.072873125451865,0.0,,-0.072873125451865,Cont
569.193,0.417818699863126,0.370322579545989,,-0.04749612031713696,
570.196,0.113168900750188,0.100632355662738,,-0.012536545087450002,
571.201,0.071767499566326,0.054439107789243,,-0.017328391777083,
576.259,0.072571785156982,0.0,,-0.072571785156982,Cont
585.165999999999,0.069282887713194,0.091821160030727,,0.022538272317532998,
597.287,0.055247143670437,0.0,,-0.055247143670437,Cont
611.204999999999,0.114886521027266,0.135111104674849,,0.02022458364758299,
612.212,0.064620476160354,0.051188033436288,,-0.013432442724066004,
613.275,0.061945707521011,0.0,,-0.061945707521011,Cont
629.218,0.148867926798175,0.145495469498471,,-0.003372457299704007,
630.216,0.053289266115109,0.0,,-0.053289266115109,Cont
654.277,0.054864889722647,0.0,,-0.054864889722647,Cont
671.23,0.172644898500905,0.203923999764035,,0.031279101263129994,
672.231,0.050480572767763,0.060607391957223,,0.010126819189459998,
687.207,0.0,0.060323701869211,,0.060323701869211,Ex
687.368,0.050971332506216,0.0,,-0.050971332506216,Cont
689.24,0.6693107515035,0.656650872505147,,-0.01265987899835297,
690.243,0.218212673678148,0.21962033956347,,0.0014076658853219848,
691.247,0.08746630053077,0.084374215358706,,-0.0030920851720639964,
703.33,0.063690881128336,0.0,,-0.063690881128336,Cont
705.212,0.095186666050921,0.143337073700858,,0.048150407649936985,
711.334,0.056017084617053,0.0,,-0.056017084617053,Cont
725.316,0.090137033189345,0.0,,-0.090137033189345,Cont
726.326,0.051743601903275,0.0,,-0.051743601903275,Cont
731.254,0.478571464606971,0.445086769214781,,-0.033484695392189956,
732.256,0.165925766671414,0.155789537349405,,-0.010136229322009,
733.259,0.092810482373436,0.092325034175487,,-0.00048544819794900385,
741.344,0.051412573865239,0.0,,-0.051412573865239,Cont
747.223,0.110729460835658,0.165001958209113,,0.054272497373455006,
748.23,0.0,0.051824073385883,,0.051824073385883,Ex
773.264,0.10173112528965,0.137412612655589,,0.035681487365938985,
791.275,0.075358280610101,0.078369253710428,,0.003010973100326997,
823.393,0.053028518472956,0.0,,-0.053028518472956,Cont
833.284,0.08783846452664,0.119045910260569,,0.031207445733929,
851.294,0.371875656089422,0.37439403597014,,0.002518379880717958,
852.302,0.140556134865402,0.144231737809962,,0.0036756029445600136,
853.305,0.070451925065808,0.064483964514142,,-0.005967960551665999,
867.272,0.0,0.071496035558266,,0.071496035558266,Ex
883.595,0.069592338777121,0.0,,-0.069592338777121,Cont
893.311,0.270454175901236,0.290301572721966,,0.01984739682073,
894.31,0.10190447842516,0.112404184583197,,0.010499706158036998,
895.323,0.069072318178096,0.081849094591829,,0.012776776413732996,
909.28,0.062124610130079,0.100721374848076,,0.038596764717997,
935.318,0.050420227093772,0.06888445118075,,0.018464224086977996,
995.342,0.0,0.05570513949498,,0.05570513949498,Ex
1013.359,0.195359708726373,0.203406921816664,,0.008047213090290994,
1014.358,0.082043300640596,0.086424851089857,,0.0043815504492609875,
1055.364,0.115395714331729,0.139347182702507,,0.02395146837077801,
1056.368,0.053075708401942,0.06326857578035,,0.010192867378408,
1175.411,0.085997436376062,0.098074864283011,,0.012077427906949004,
1217.427,0.0,0.054770863978046,,0.054770863978046,Ex
