m/z,Cont,Ex,Unnamed: 3,Dif,Y/N,Putative_Metabolites
183.015,1.0,0.312457351857412,,-0.6875426481425879,,"[M-H]-: 6-Thiourate | 3,4-Dihydroxymandelate | 4-Deoxy-4-sulfo-D-erythrulose | 2,4-Dinitrophenol | 3,4,5-Trihydroxyphenylacetate | L-3,4-Dihydroxybutan-2-one 4-phosphate | 3-Phosphonooxypyruvate | 2-Pyrone-4,"
517.338999999999,0.372833550680315,1.0,,0.627166449319685,,[M-H]-: Hypercalin B | Deacetylcucurbitacin C | Cucurbitacin O | Hodgkinsine | 13-beta-D-Glucosyloxydocosanoate | Cucurbitacin F
519.177,0.0,0.492236088419591,,0.492236088419591,Ex,[M-H]-: (-)-Pinoresinol glucoside | Brusatol | Mometasone furoate | Beclomethasone dipropionate | Matairesinoside | Chryso-obtusin glucoside
869.321,0.0,0.278165320772521,,0.278165320772521,Ex,[M-H]-: Hydroxyheme I
518.343,0.129300296592076,0.364825859104184,,0.235525562512108,,No matches in KEGG
681.238999999999,0.0,0.222673019858925,,0.222673019858925,Ex,[M-H]-: Pinoresinol diglucoside | Bruceoside A
221.073,0.0,0.171484038384303,,0.171484038384303,Ex,"[M-H]-: 3-(3'-Methylthio)propylmalic acid | 2-(3'-Methylthio)propylmalic acid | IBMX | Apiole | cis-2,3-Dihydro-2,3-dihydroxy-4'-chlorobiphenyl | Sphagnum acid | 3-Deoxy-lyxo-heptulosaric acid | Dehydrovomifo"
325.196,0.266404311548626,0.09814288053841,,-0.1682614310102159,,"[M-H]-: Pregna-4,16-diene-3,11,20-trione | Isoajmaline | Docebenone | (-)-Tortuosamine | Hydroquinidine | 3,3-Difluoro-17-methyl-5alpha-androstan-17beta-ol | 12alpha-Methylpregna-4,9(11)-diene-3,20-dione | 2,"
184.022,0.24469654129785,0.089757037187231,,-0.154939504110619,,"[M-H]-: O-Phospho-L-serine | O-Phospho-D-serine | Cyometrinil | 2-Amino-3-carboxymuconate semialdehyde | (2Z,4E)-4-Amino-6-oxohepta-2,4-dienedioate | L-Serine O-sulfate"
339.211,0.231939619854358,0.086475323540995,,-0.145464296313363,,"[M-H]-: 3-Hydroxyquinine | 17-Hydroxy-3-oxo-17alpha-pregna-1,4-diene-21-carboxylic acid, gamma-lactone | 5alpha,17alpha-Pregn-2-en-20-yn-17-ol acetate | 3alpha-Hydroxy-3,5-dihydromonacolin L acid | Methanthel"
311.181,0.192614049462788,0.069866918298831,,-0.122747131163957,,"[M-H]-: (7S,8S)-DiHODE | 1-Dehydroprogesterone | Broussonin C | Ethisterone | Oseltamivir | 9(S)-HPODE | Centrolobine | 5S,8R-DiHODE | 9-Hydroxy-12-oxo-15(Z)-octadecenoic acid | Olanzapine | 17-Allylestra-1,3"
870.327,0.0,0.112462908301132,,0.112462908301132,Ex,No matches in KEGG
520.182,0.0,0.112113437235582,,0.112113437235582,Ex,No matches in KEGG
730.52,0.111832523571569,0.0,,-0.111832523571569,Cont,No matches in KEGG
533.336,0.055673910283782,0.15634906554264,,0.100675155258858,,[M-H]-: Divostroside | Divaricoside | Cucurbitacin H | Integerrenine | Neriifolin
383.134,0.0,0.098052222772451,,0.098052222772451,Ex,"[M-H]-: Macrozamin | 4'-Demethyldeoxypodophyllotoxin | S-Adenosyl-L-homocysteine | Acetyl-maltose | 1,3,3'-Tri-O-methyl-4alpha-mannobiose | Schizandrin C"
351.16,0.093515366239282,0.0,,-0.093515366239282,Cont,"[M-H]-: 2,2-Dimethyl-3-(4-methoxyphenyl)-4-ethyl-2H-1-benzopyran-7-ol acetate | Dibenzo[h,rst]pentaphene | Ajmalicine | 8-(1,1-Dimethylallyl)-3-methylgalangin | (3R)-3-Hydroxy-1,2-didehydro-2,3-dihydrotaberso"
185.014,0.090620996872512,0.0,,-0.090620996872512,Cont,"[M-H]-: 3-Carboxy-2-hydroxymuconate semialdehyde | 3,5-Dihydroxybiphenyl | Glyphosate-monoammonium | Maleylpyruvate | Biphenyl-2,3-diol | 3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate | 4-Sulfobenzaldehyde | Maf"
972.523,0.0,0.08763145376064,,0.08763145376064,Ex,No matches in KEGG
161.047,0.0,0.087008059767838,,0.087008059767838,Ex,"[M-H]-: Lichenin | Methyl cinnamate | (R)-2-Ethylmalate | 2-Deoxystreptamine | 4-Hydroxycoumarin | 1-Ethyl-2-benzimidazolinone | cis-1,2-Dihydronaphthalene-1,2-diol | D-Fucono-1,4-lactone | (4R)-4-Hydroxy-2-o"
707.256999999999,0.0,0.083705387605816,,0.083705387605816,Ex,[M-H]-: 4'-Cinnamoylmussatioside | Sanggenon C | Jasplakinolide | Sanggenon D | Pradimicin B
197.032,0.083509711370902,0.0,,-0.083509711370902,Cont,"[M-H]-: 3-Methoxy-4-hydroxymandelate | 2,4-Dinitrophenylhydrazine | 10-Carboxychrysanthemic acid | Dehydrosafynol | 2-Oxopropyl-CoM | (3E)-3-[(1R,5R,6S)-5-Hydroxy-7-oxabicyclo[4.1.0]heptan-2-ylidene]-2-oxopro"
539.325,0.0,0.076714016665432,,0.076714016665432,Ex,[M-H]-: 1-Tuberculosinyladenosine | Condurangogenin C
129.021,0.0,0.074990544297529,,0.074990544297529,Ex,"[M-H]-: 2,5-Dioxopentanoate | Cucurbitine | Acetylpyruvate | Ureidoacrylate | 2-Hydroxyethyl methacrylate | (S)-Piperazine-2-carboxylate | (3S)-1,2-Diazinane-3-carboxylate | (3R)-3-Methyl-2-oxopentanoic acid "
455.338,0.0,0.074025477756678,,0.074025477756678,Ex,"[M-H]-: Soyasapogenol E | 30-Hydroxy-11-oxo-beta-amyrin | Ursolic acid | 4alpha-Carboxy-stigmasta-7,24(24(1))-dien-3beta-ol | Betulinic acid | 11-Carbonyl-20beta-hydroxycucurbitadienol | alpha-Elemolic acid |"
187.042,0.070221924732548,0.0,,-0.070221924732548,Cont,[M-H]-: Tabtoxinine-delta-lactam | Butylidenephthalide | 4-Chlorobiphenyl | (3S)-3-Hydroxy-L-enduracididine | 2-Methyl-trans-aconitate | Antipyrine | 2-Oxosuberate | 1-Hydroxy-2-naphthoate | Plumbagin | Pegan
