filename,species,media_kind,genotype,treatment,captured,latitude,longitude,camera,width_px,height_px,notes,source_path
Harvest5_Tube1_thermal_HM20241130020312.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 5 · Tube 1,2024-11-30T02:03:12,,,,640,480,,Harvest 5/Tube 1/HM20241130020312.jpeg
Harvest5_Tube1_thermal_HM20241130020322.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 5 · Tube 1,2024-11-30T02:03:22,,,,640,480,,Harvest 5/Tube 1/HM20241130020322.jpeg
Harvest5_Tube2_IMG_0802.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 5 · Tube 2,2024-11-29T14:31:09,,,Canon EOS Rebel SL3,6000,4000,,Harvest 5/Tube 2/IMG_0802.JPG
Harvest5_Tube2_mesh.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 5 · Tube 2,2024-11-30T10:23:04,,,,,,mesh — mtime used as best-effort capture date,Harvest 5/Tube 2/Harvest 5_02_mesh.ply
Harvest5_Tube2_pc.obj,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 5 · Tube 2,2024-11-30T10:23:28,,,,,,pc — mtime used as best-effort capture date,Harvest 5/Tube 2/Harvest 5_02_pc.obj
Harvest5_Tube2_thermal_HM20241130020525.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 5 · Tube 2,2024-11-30T02:05:25,,,,640,480,,Harvest 5/Tube 2/HM20241130020525.jpeg
Harvest5_Tube2_thermal_HM20241130020528.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 5 · Tube 2,2024-11-30T02:05:28,,,,640,480,,Harvest 5/Tube 2/HM20241130020528.jpeg
Harvest5_Tube3_IMG_0807.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 5 · Tube 3,2024-11-29T14:34:04,,,Canon EOS Rebel SL3,6000,4000,,Harvest 5/Tube 3/IMG_0807.JPG
Harvest5_Tube3_IMG_0809.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 5 · Tube 3,2024-11-29T14:34:20,,,Canon EOS Rebel SL3,6000,4000,,Harvest 5/Tube 3/IMG_0809.JPG
Harvest5_Tube3_pc.obj,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 5 · Tube 3,2024-11-30T10:24:16,,,,,,pc — mtime used as best-effort capture date,Harvest 5/Tube 3/Harvest 5_03_pc.obj
Harvest5_Tube3_thermal_HM20241130020750.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 5 · Tube 3,2024-11-30T02:07:50,,,,640,480,,Harvest 5/Tube 3/HM20241130020750.jpeg
Harvest6_Tube1_IMG_0822.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 6 · Tube 1,2024-12-09T10:44:07,,,Canon EOS Rebel SL3,6000,4000,,Harvest 6/Tube 1/IMG_0822.JPG
Harvest6_Tube1_mesh.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 6 · Tube 1,2024-12-10T08:52:26,,,,,,mesh — mtime used as best-effort capture date,Harvest 6/Tube 1/Harvest 6_01_mesh.ply
Harvest6_Tube1_pc.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 6 · Tube 1,2024-12-10T08:52:26,,,,,,pc — mtime used as best-effort capture date,Harvest 6/Tube 1/Harvest 6_01_pc.ply
Harvest6_Tube1_thermal_HM20241209221927.jpeg,Pleurotus ostreatus,thermal,Blue Oyster,Harvest 6 · Tube 1,2024-12-09T22:19:27,,,,640,480,,Harvest 6/Tube 1/HM20241209221927.jpeg
Harvest7_Tube2_mesh.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 7 · Tube 2,2024-12-13T13:59:30,,,,,,mesh — mtime used as best-effort capture date,Harvest 7/Tube 2/Harvest 7_02_mesh_mesh.ply
Harvest7_Tube2_pc.obj,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 7 · Tube 2,2024-12-13T13:59:50,,,,,,pc — mtime used as best-effort capture date,Harvest 7/Tube 2/Harvest 7_02_pc.obj
Harvest7_Tube3_IMG_0848.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 7 · Tube 3,2024-12-13T13:22:31,,,Canon EOS Rebel SL3,6000,4000,,Harvest 7/Tube 3/IMG_0848.JPG
Harvest8_Tube3_IMG_0854.JPG,Pleurotus ostreatus,photo,Blue Oyster,Harvest 8 · Tube 3,2024-12-13T13:42:31,,,Canon EOS Rebel SL3,6000,4000,,Harvest 8/Tube 3/IMG_0854.JPG
Harvest8_Tube3_pc.obj,Pleurotus ostreatus,scan3d,Blue Oyster,Harvest 8 · Tube 3,2024-12-13T14:05:48,,,,,,pc — mtime used as best-effort capture date,Harvest 8/Tube 3/Harvest 8_03_pc.obj
NakedTube_mesh.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Naked tube (reference scan),2024-11-08T09:09:04,,,,,,mesh — mtime used as best-effort capture date,Naked tube/Naked_mesh.ply
NakedTube_pc.ply,Pleurotus ostreatus,scan3d,Blue Oyster,Naked tube (reference scan),2024-11-08T09:09:04,,,,,,pc — mtime used as best-effort capture date,Naked tube/Naked_pc.ply
