filename,species,media_kind,genotype,treatment,captured,latitude,longitude,altitude_m,camera,lens,iso,f_number,exposure_time_s,focal_length_mm,orientation,width_px,height_px,notes,source_path,contributor,license
IMG_1884.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-22T15:05:18,40.421597,-86.916261,193.2,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1886.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-22T15:05:48,40.421508,-86.91635,190.3,Apple iPhone 12,,,,,,1,4032,3024,,,,
IMG_1968.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T11:59:23,40.421578,-86.916436,205.1,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1970.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T11:59:54,40.421561,-86.916436,190.5,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1971.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:00:28,40.421569,-86.916419,199.4,Apple iPhone 12,,,,,,1,4032,3024,,,,
IMG_1980.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:07:01,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1981.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:07:10,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1982.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:07:58,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1983.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:08:21,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1986.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:09:46,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1987.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:09:49,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1990.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:13:21,40.421581,-86.916436,208.7,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_2426.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-06-24T14:23:29,40.421622,-86.916419,206.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_2427.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-06-24T14:23:39,40.421622,-86.916419,206.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_2435.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-06-24T15:03:50,40.421603,-86.916442,203.3,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_9594.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-03T15:15:46,40.421575,-86.91645,208.7,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_9595.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-03T15:15:49,40.421567,-86.916442,208.7,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_9596.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-03T15:15:51,40.421567,-86.916442,208.7,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_9830.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-19T16:04:06,40.421569,-86.916497,209.0,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_9831.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-19T16:04:09,40.421569,-86.916497,209.0,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_1984_Copy.jpg,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-29T12:09:30,40.421581,-86.916436,198.8,Apple iPhone 12,,,,,,,2684,1123,contaminated (mold),,,
