filename,species,media_kind,genotype,treatment,captured,latitude,longitude,altitude_m,camera,lens,iso,f_number,exposure_time_s,focal_length_mm,orientation,width_px,height_px,notes,source_path,contributor,license
E32EE916-316D-4B35-AF74-1E25EECB13AC.heic,Pleurotus ostreatus,photo,Blue Oyster,,2025-09-03T15:15:46,40.421575,-86.91645,208.7,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_0173.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-10-21T09:34:02,40.421561,-86.916411,208.6,Apple iPhone SE (3rd generation),,,,,,1,4032,3024,,,,
IMG_0174.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-10-21T09:34:12,40.421561,-86.916411,208.6,Apple iPhone SE (3rd generation),,,,,,1,3024,4032,,,,
IMG_0508.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2025-12-01T13:15:11,40.421403,-86.916061,235.9,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1280.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:55:07,40.4215,-86.916231,190.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1281.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:55:19,40.4215,-86.916231,190.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1282.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:57:24,40.4215,-86.916231,190.8,Apple iPhone 12,,,,,,1,4032,3024,,,,
IMG_1283.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:57:37,40.4215,-86.916231,190.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1284.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:57:47,40.4215,-86.916231,190.8,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1287.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:58:21,40.421486,-86.916306,190.3,Apple iPhone 12,,,,,,1,4032,3024,,,,
IMG_1288.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-03-31T14:58:32,40.421528,-86.916275,190.3,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1541.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-04-20T13:17:06,40.421556,-86.916503,191.5,Apple iPhone 12,,,,,,1,4032,3024,,,,
IMG_1544.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-04-20T13:18:50,40.42155,-86.916519,210.3,Apple iPhone 12,,,,,,1,3024,4032,,,,
IMG_1882.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-22T15:04:48,40.421597,-86.916261,193.2,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
IMG_1883.HEIC,Pleurotus ostreatus,photo,Blue Oyster,,2026-05-22T15:05:01,40.421597,-86.916261,193.2,Apple iPhone 12,,,,,,1,3024,4032,contaminated (mold),,,
